gene_id	CL	CR	CO	KI	LI	LU	MG	OV	PA	SP	ST
ENSCAFG00000000124	1.165667886	0.840765759	3.480699588	2.395782075	3.439911341	2.418408862	2.821548345	3.609893719	3.910708556	5.093464979	2.898214485
ENSCAFG00000000125	39.9308622	42.21814527	29.19552808	30.19028181	40.0948249	21.93777542	32.6895304	22.8749417	128.8805749	18.33194352	62.69710751
ENSCAFG00000000126	9.211895831	9.970959777	11.38226582	11.86512653	15.66332806	9.475969107	14.43470151	10.41996102	32.51034759	187.7138248	33.21720707
ENSCAFG00000000127	0.168452698	0.15172431	0.034691358	0	8.781770473	0.039105368	0	0	0.405721925	0	0.025361011
ENSCAFG00000000128	0.062390632	0.119939024	0.030378378	0.1314014	0.079528302	0.033792784	0.034508772	0	0	0.131087804	0.028969072
ENSCAFG00000000129	7.164750931	21.50223095	0.23280714	0	0.176544503	0.01039778	0	0.024371973	0.165294118	0	0.224832769
ENSCAFG00000000130	4.621264233	3.995153716	7.981293849	8.173746731	32.95240615	5.541246637	8.377158899	7.845692827	29.3847861	6.327711351	11.76018832
ENSCAFG00000000131	10.64903062	10.97344244	0.380261039	0.155134894	135.5607789	0.211671304	0.144230218	0.819675179	86.49766043	0.222658681	0.988783108
ENSCAFG00000000132	2.10102163	3.228491509	2.267658436	2.71794143	7.461295318	4.262030316	1.979492458	1.18905896	3.016617647	6.268629523	1.863798988
ENSCAFG00000000133	11.06054487	33.31641119	14.54799288	8.905514237	5.997794132	5.410576725	8.279929911	12.05506318	19.48967914	10.68238548	10.87420882
ENSCAFG00000000134	2.505060257	1.573243528	4.373955177	4.400189712	6.414311469	14.11885687	5.956556641	8.814544649	1.401243316	5.710846251	4.172505055
ENSCAFG00000000135	8.217400269	6.360005985	13.42508675	11.28915572	8.674414205	12.48786794	11.59264549	10.4169446	3.290855615	13.06541207	11.15464408
ENSCAFG00000000136	505.8899587	519.6873747	674.7349435	869.7848678	1337.468258	263.7908889	635.7757005	244.4604824	778.6329679	294.0438619	996.6976086
ENSCAFG00000000137	29.79397869	49.36771489	90.50278356	81.55871303	210.1837946	39.31492027	83.79468568	47.22766487	523.933516	130.4329013	94.21392416
ENSCAFG00000000140	24.85140002	30.40696979	10.98275264	8.87997791	3.138869653	17.73143937	32.37753529	24.63610895	5.871697861	17.79356633	15.44834165
ENSCAFG00000000141	166.625029	172.9512859	702.0312916	338.1482444	1073.099319	403.8905382	1059.349682	1004.593837	3105.587206	555.1140686	642.9764003
ENSCAFG00000000142	3.704120596	3.765981014	8.569671783	6.358066009	8.561228638	5.585478544	7.610510348	10.15271723	8.493863636	10.16214378	8.242903718
ENSCAFG00000000143	5.06643553	5.332413742	2.500309309	6.164272906	19.43266423	2.865146475	3.338941463	4.405649532	20.9547861	0.975703819	3.453611907
ENSCAFG00000000144	0.562373111	0.877810548	8.89461417	4.054137119	0.836226909	3.325217226	17.30750933	2.12406273	7.404425134	0.509858699	6.540439106
ENSCAFG00000000145	0.365290655	2.413529457	6.428214882	0.453903065	1.39646424	1.214256036	0.351930102	13.82144114	16.77735294	0.804255345	24.66146526
ENSCAFG00000000147	21.51098251	5.375631109	7.526618285	2.958128949	5.001608466	3.416766266	4.121328467	6.049434283	14.75625668	4.926662051	2.854516853
ENSCAFG00000000148	0.147894737	0.105283227	0.906350795	1.005432943	212.1030221	5.901541077	0.786474914	1.409400734	17.65266043	7.570752497	2.855649819
ENSCAFG00000000149	24.47437344	21.64999083	3.757261595	3.764154904	10.41786057	2.83201518	2.024654128	6.23068866	5.015173797	2.565036738	2.22803888
ENSCAFG00000000150	2.988001533	3.107918921	5.704134357	6.607427437	7.09175936	3.756885293	3.730461024	6.09906339	11.46540107	3.232069774	3.311781979
ENSCAFG00000000153	1.346569907	1.705271489	1.823296519	1.552330226	1.075991554	1.391974352	2.195446026	3.716081387	2.021096257	2.964712594	2.052167678
ENSCAFG00000000156	0.229687824	0.564518412	131.4930608	0.061296311	0.522624469	0.135786116	0.105395075	0.150187845	0.120213904	5.472662708	0.230096704
ENSCAFG00000000157	0.283340151	1.885161391	0.166330998	0.243222668	0.029424084	0.087833333	0.010477702	0.032126432	0.045080214	0.343125256	0.063010346
ENSCAFG00000000158	18.73002758	18.83925944	26.53057546	45.93702121	332.3863171	19.96931343	44.552304	30.40326319	35.39548128	25.277056	26.08140298
ENSCAFG00000000159	2.145456702	0.709702118	1.936277833	1.3604997	2.011455349	1.598012664	1.779296808	4.116629096	2.881377005	11.45185878	1.963587157
ENSCAFG00000000160	11.77253761	8.506735633	2.115328996	2.262052967	3.564269732	3.569549548	4.738982439	7.803800991	3.985842246	9.580973951	3.969826132
ENSCAFG00000000162	5.473696177	4.805378022	6.080394951	4.902038998	2.17717401	4.571059361	9.212022012	7.115968791	3.193181818	7.495699121	5.43095153
ENSCAFG00000000163	12.12758947	10.49322514	17.27973418	15.03055842	18.08783093	23.81625424	18.86970892	13.00330138	12.09276738	27.66306051	18.70805947
ENSCAFG00000000164	51.3326833	31.01529254	48.25030341	35.52392808	25.74239529	38.94811946	43.51333252	77.75786113	89.49173797	27.1628701	50.51080192
ENSCAFG00000000165	0.943914537	0.706930281	3.846834056	8.877262251	6.930620863	10.54850113	5.234111048	3.657534797	3.58763369	22.35039123	6.593723374
ENSCAFG00000000166	6.053649728	6.523330084	8.706718274	6.795036139	10.292947	7.761043434	6.44503753	7.043445843	6.645574866	7.540705338	6.418653963
ENSCAFG00000000167	11.59297865	10.52555548	16.36422612	18.10418276	6.625762373	8.404734222	11.89719477	14.36262899	12.92299465	11.91184733	14.50262868
ENSCAFG00000000168	9.99337635	8.870852548	104.3884215	15.39103367	6.888983009	9.473638392	15.86903226	22.09454298	14.64355615	33.66005458	44.08660513
ENSCAFG00000000169	0	0	0	0	0	0.02079556	0	0.843792204	0	0	0
ENSCAFG00000000170	0	0	0	0	0	0	0	0.048743947	0	0	0
ENSCAFG00000000172	11.5420694	14.46951173	13.68492815	10.80449039	8.152414304	7.850416796	14.55604917	12.02620239	15.86447861	7.975500735	12.48628016
ENSCAFG00000000173	8.871212432	8.03869113	13.04985752	10.41825061	15.25978786	4.668830532	11.42380508	10.12751453	30.82359626	5.526910387	9.341915715
ENSCAFG00000000175	1.212279999	1.025775408	1.651339895	2.703769796	1.294798479	1.458826081	1.373858887	2.369673095	1.878342246	1.31250597	1.960658876
ENSCAFG00000000178	27.91710515	35.91153092	44.69890846	15.83783951	81.14718167	51.08471609	72.90025032	115.5670016	11.00332888	61.6293142	36.94576371
ENSCAFG00000000183	0	0	0.162018018	0	0	0	0	0	0	0.178535912	0
ENSCAFG00000000184	2.623698919	6.092963932	1.529888889	10.13116662	77.14821273	0.992915624	2.439007586	2.877614465	0.522179144	0.631883716	2.288120945
ENSCAFG00000000185	21.71200708	27.38596543	26.24676265	42.11795978	30.34573768	26.15306224	26.86203005	25.67340454	47.8188369	31.01918028	23.33608663
ENSCAFG00000000187	0	0	0	0	0	0	0	0.028170426	0	0	0
ENSCAFG00000000189	10.08434315	7.511748581	16.94057146	6.276208277	5.741929517	9.255259176	11.50339279	11.85139335	10.16183155	5.905790472	6.512585569
ENSCAFG00000000190	254.7728041	244.8016282	2135.978105	688.4263121	2597.851593	1068.318974	3482.551588	1853.940602	16755.42893	1493.826569	1060.427075
ENSCAFG00000000192	5.091930349	4.844011376	13.63085964	2.637909351	1.412633607	7.186896843	3.771987375	4.393904693	1.085681818	8.122778469	1.878841292
ENSCAFG00000000193	0	0	0	0.043678756	0.147120419	0	0	0.014085213	0	0.011643646	0
ENSCAFG00000000194	0.068221752	0.116556917	0	0.014559585	67.50176282	0.016759443	0.004929825	0.047108263	0	0.007762431	0
ENSCAFG00000000195	5.061800108	5.557281943	3.652562451	44.91812408	147.847277	4.863887094	13.68840005	5.561857318	25.42148396	10.91033492	10.5587039
ENSCAFG00000000196	0.180044602	0.169985825	0.072289289	3.04815648	8.119659192	0.457295597	0.162109957	3.897438889	0.127727273	0.585884861	0.192447368
ENSCAFG00000000197	28.11501488	34.96932058	24.21206762	34.73020246	44.33418305	25.35706878	31.09139126	26.6750216	82.36530749	28.9428789	24.03448181
ENSCAFG00000000198	0	0	0	0	0	0.062386679	0	0.051433801	2.227713904	0	0
ENSCAFG00000000199	0.007214377	0.009168026	0.257372372	0.061661442	0.07064556	0.628150965	1.294217644	2.36567412	0.247941176	0.045423125	0.341981466
